Filename,Extracted Values
X8XUG1JD,"{'Current Assets ': 'nan', 'Creditors: amounts falling due within one year ': 'nan', 'Net current assets (liabilities) ': 'nan', 'Total assets less current liabilities ': 'nan', 'Total net assets (liabilities) ': 'nan', 'Capital and reserves ': 'nan'}"
X8XX0C57,"{'Called up share capital not paid ': 'nan', 'Net assets ': 'nan', 'Tssued share capital ': 'nan', '1 Ordinary Share 1 of Â£ each ': 'nan', 'Total Shareholder funds ': 'nan'}"
X8XX02AX,"{'Net assets ': 'nan', 'Issued share capital ': 'nan', '1 Ordinary Share 0 of Â£ each ': 'nan', 'Total Shareholder funds ': 'nan'}"
X8XX0ANN,"{'Called up share capital not paid ': 'nan', 'Net assets ': 'nan', 'Tssued share capital ': 'nan', '1 Ordinary Share 1 of Â£ each ': 'nan', 'Total Shareholder funds ': 'nan'}"
X8XX0BU1,"{'Current assets ': 'nan', 'Cash at bank and in hand ': '100', 'Net assets ': '100', 'Issued share capital ': 'nan', '100 Ordinary Shares 1 of Â£ each ': '100', 'Total Shareholder funds ': '100'}"
X8XX0CEA,"{'Current Assets ': '384', 'Creditors: amounts falling due within one year ': '-225', 'Net current assets (liabilities) ': '159', 'Total assets less current liabilities ': '159', 'Total net assets (liabilities) ': '159', 'Capital and reserves ': '159'}"
X8XX00J6,"{'Called up share capital not paid ': 'nan', 'Fixed Assets ': '516', 'Current Assets ': 'nan', 'Prepayments and accrued income ': 'nan', 'Creditors: amounts falling due within one year ': 'nan', 'Net current assets (liabilities) ': 'nan', 'Total assets less current liabilities ': '516', 'Creditors: amounts falling due after more than one year ': 'nan', 'Provisions for liabilities ': 'nan', 'Accruals and deferred income ': 'nan', 'Total net assets (liabilities) ': '516', 'Capital and reserves ': '516'}"
X8XX00LL,"{'Current Assets ': '675', 'Creditors: amounts falling due within one year ': '-119662', 'Net current assets (liabilities) ': '-118987', 'Total assets less current liabilities ': '-118987', 'Total net assets (liabilities) ': '-118987', 'Capital and reserves ': '-118987'}"
X8XX00MX,"{'Current assets ': 'nan', 'Cash at bank and in hand ': 'nan', 'Net assets ': 'nan', 'Issued share capital ': 'nan', '1 Ordinary Share 1 of Â£ each ': 'nan', 'Total Shareholder funds ': 'nan'}"
X8XX000W,"{'Current assets ': 'nan', 'Cash at bank and in hand ': '1000', 'Net assets ': '1000', 'Issued share capital ': 'nan', '1000 Ordinary Shares 1 of Â£ each ': '1000', 'Total Shareholder funds ': '1000'}"
X8XX00YW,"{'Called up share capital not paid ': '1000', 'Current Assets ': '4240', 'Creditors: amounts falling due within one year ': '-3082', 'Net current assets (liabilities) ': '1158', 'Total assets less current liabilities ': '2158', 'Total net assets (liabilities) ': '2158', 'Capital and reserves ': '2158'}"
X8XX01EH,"{'Called up share capital not paid ': 'nan', 'Fixed Assets ': 'nan', 'Current Assets ': '254', 'Prepayments and accrued income ': 'nan', 'Creditors: amounts falling due within one year ': 'nan', 'Net current assets (liabilities) ': '254', 'Total assets less current liabilities ': '255', 'Creditors: amounts falling due after more than one year ': 'nan', 'Provisions for liabilities ': 'nan', 'Accruals and deferred income ': 'nan', 'Total net assets (liabilities) ': '255', 'Capital and reserves ': '255'}"
X8XX01EP,"{'Current assets ': 'nan', 'Cash at bank and in hand ': 'nan', 'Net assets ': 'nan', 'Issued share capital ': 'nan', '2 Ordinay Shares of Â£ | each ': 'nan', 'Total Shareholder funds ': 'nan'}"
X8XX01IX,"{'Called up share capital not paid ': 'nan', 'Fixed Assets ': 'nan', 'Current Assets ': '55690', 'Creditors: amounts falling due within one year ': '-101141', 'Net current assets (liabilities) ': '-45451', 'Total assets less current liabilities ': '-45449', 'Total net assets (liabilities) ': '-45449', 'Capital and reserves ': '-45449'}"
X8XX01SZ,"{'Called up share capital not paid ': 'nan', 'Net assets ': 'nan', 'Tssued share capital ': 'nan', '2 Ordinary Shares 1 of Â£ each ': 'nan', 'Total Shareholder funds ': 'nan'}"
X8XX01TN,"{'Called up share capital not paid ': 'nan', 'Net assets ': 'nan', 'Tssued share capital ': 'nan', '2 Ordinary Shares 1 of Â£ each ': 'nan', 'Total Shareholder funds ': 'nan'}"
X8XX01TV,"{'Current assets ': 'nan', 'Cash at bank and in hand ': 'nan', 'Net assets ': 'nan', 'Issued share capital ': 'nan', '1 Ordinary Share 1 of Â£ each ': 'nan', 'Total Shareholder funds ': 'nan'}"
X8XX02N7,"{'Current Assets ': '5751', 'Net current assets (liabilities) ': '5751', 'Total assets less current liabilities ': '5751', 'Creditors: amounts falling due after more than one ': 'nan', '': '-2531', 'Total net assets (liabilities) ': '3220', 'Capital and reserves ': '3220'}"
X8XX02SY,"{'Current Assets ': '8312', 'Creditors: amounts falling due within one year ': '-5606', 'Net current assets (liabilities) ': '2706', 'Total assets less current liabilities ': '2706', 'Total net assets (liabilities) ': '2706', 'Capital and reserves ': '2706'}"
X8XX03IJ,"{'Called up share capital not paid ': '100', 'Net assets ': '100', 'Tssued share capital ': 'nan', '100 Ordinary Shares of Â£ | each ': '100', 'Total Shareholder funds ': '100'}"
X8XX03S9,"{'Current assets ': 'nan', 'Cash at bank and in hand ': '100', 'Net assets ': '100', 'Issued share capital ': 'nan', '100 A Shares 1 of Â£ each ': '100', 'Total Shareholder funds ': '100'}"
X8XX07H7,"{'Current Assets ': 'nan', 'Prepayments and accrued income ': 'nan', 'Creditors: amounts falling due within one year ': 'nan', 'Net current assets (liabilities) ': 'nan', 'Total assets less current liabilities ': 'nan', 'Creditors: amounts falling due after more than one year ': 'nan', 'Total net assets (liabilities) ': 'nan', 'Capital and reserves ': 'nan'}"
X8XX036G,"{'Fixed Assets ': '202', 'Current Assets ': '10833', 'Creditors: amounts falling due within one year ': '-2466', 'Net current assets (liabilities) ': '8367', 'Total assets less current liabilities ': '8569', 'Creditors: amounts falling due after more than one year ': '-5083', 'Total net assets (liabilities) ': '3486', 'Capital and reserves ': '3486'}"
X8XX0137,"{'Called up share capital not paid ': '100', 'Net assets ': '100', 'Tssued share capital ': 'nan', '100 Ordinary Shares 1 of Â£ each ': '100', 'Total Shareholder funds ': '100'}"
X8XX0196,"{'Current assets ': 'nan', 'Cash at bank and in hand ': 'nan', 'Net assets ': 'nan', 'Issued share capital ': 'nan', '1 Ordinary Share 1 of Â£ each ': 'nan', 'Total Shareholder funds ': 'nan'}"
